Broadway, NYC;40.8413683;-73.9394733
Champs-Élysées, Paris;48.8657844;2.3073141
Brandenburger Tor, Berlin;52.5162746;13.377704
Omotesandō, Tokyo;35.6667248;139.71811
Madrid, Spain;40.4167754;-3.7037902
Berlin, Germany;52.52000659999999;13.404954
London, United Kingdom;51.508515;-0.1254872
Cambridge, Cambridgeshire;52.205337;0.121817
Barcelona, Spain;41.3850639;2.1734035
Milan, Italy;45.4654219;9.1859243
Stockholm, Skåne Län, Sweden;59.31275669999999;18.0840194
Sabadell;41.5462745;2.1086131
Valladolid;41.652251;-4.724532099999999
Alcorcón;40.3468454;-3.8278443
Amsterdam, Netherlands;52.3702157;4.895167900000001
Bilbao, Spain;43.2630126;-2.9349852
Stockholm, Sweden;59.32932349999999;18.0685808
Buenos Aires, Argentina;-34.6037232;-58.3815931
Shangdu;41.562113;113.577816
Gijón, Asturias;43.5322015;-5.6611195
Reykjavík, Iceland;64.1333333;-21.9333333
Ota-ku, Tokyo, Japan;35.5612568;139.7160511
Hospitalet, Cataluna, Spain;40.99092400000001;0.9237179000000001
Munich, Germany;48.1351253;11.5819806
Vigo, Spain;42.24059889999999;-8.7207268
São Paulo, Brazil;-23.5505199;-46.63330939999999
Livermore, California;37.6818745;-121.7680088
San Francisco, California;37.7749295;-122.4194155
A Coruña, Spain;43.3623436;-8.4115401
El Berrueco;40.8893089;-3.5629234
Fuerteventura, Canarias, Spain;28.3587436;-14.053676
Guadalajara, Jalisco;20.6596988;-103.3496092
Mataró;41.5381124;2.4447406
Leganés;40.3319506;-3.7686545
Sant Cugat del Vallès;41.4720702;2.0865154
León, Spain;42.5987263;-5.5670959
Dublin, Ireland;53.3498053;-6.2603097
L'Hospitalet De Llobregat, Cataluna, Spain;41.3661865;2.1164942
Seville, Spain;37.3890924;-5.9844589
Haarlem, Netherlands;52.3873878;4.6462194
Kawasaki-shi, Kanagawa, Japan;35.5309058;139.7030511
amaniel;40.42686390000001;-3.7094022
amaniel, madrid;40.42686390000001;-3.7094022
